 # S8 cross sections at 13 TeV LHC
 # CTEQ6L pdfs with alpha_s(Mz) = 0.118
 # alpha_s evaluated at 2 loop running 
 # with 5 flavors
 # cross section presented in pb and calculated
 # with MadGraph5.  The model was implemented 
 # into MadGraph using FeynRules
#   (GeV)    (GeV)     (pb)
Mass S8Width S8
1000 72 2.62E+02
1100 79 1.51E+02
1200 85 8.95E+01
1300 91 5.63E+01
1400 98 3.46E+01
1500 104 2.24E+01
1600 110 1.47E+01
1700 116 9.85E+00
1800 122 6.53E+00
1900 128 4.51E+00
2000 135 3.13E+00
2100 141 2.16E+00
2200 147 1.53E+00
2300 153 1.10E+00
2400 158 7.86E-01
2500 164 5.80E-01
2600 170 4.18E-01
2700 176 3.03E-01
2800 182 2.22E-01
2900 188 1.65E-01
3000 194 1.26E-01
3100 200 9.32E-02
3200 205 6.95E-02
3300 211 5.23E-02
3400 217 3.96E-02
3500 223 2.96E-02
3600 229 2.28E-02
3700 234 1.71E-02
3800 240 1.34E-02
3900 246 1.01E-02
4000 251 7.67E-03
4100 257 5.91E-03
4200 263 4.57E-03
4300 268 3.47E-03
4400 274 2.68E-03
4500 280 2.06E-03
4600 285 1.60E-03
4700 291 1.22E-03
4800 297 9.60E-04
4900 302 7.27E-04
5000 308 5.70E-04
5100 313 4.36E-04
5200 319 3.43E-04
5300 324 2.60E-04
5400 330 2.03E-04
5500 336 1.57E-04
5600 341 1.20E-04
5700 347 9.61E-05
5800 352 7.22E-05
5900 358 5.60E-05
6000 363 4.34E-05
