#  Dijet Resonance Cross Section for sqrt{s}=13 TeV, |eta|<2.5, |delta eta|<1.3
#   (GeV)    (pb)         (pb)        (pb)        (pb)        (pb)        (pb)
   Mass      q*       Axigluon    E6Diquark      Z'          W'       RSGraviton
   500.0  0.7483E+04  0.2492E+04  0.4952E+03  0.6574E+02  0.1063E+03  0.2534E+03
   550.0  0.5185E+04  0.1760E+04  0.3745E+03  0.4728E+02  0.7731E+02  0.1632E+03
   600.0  0.3676E+04  0.1274E+04  0.2888E+03  0.3476E+02  0.5744E+02  0.1085E+03
   650.0  0.2664E+04  0.9436E+03  0.2268E+03  0.2609E+02  0.4351E+02  0.7421E+02
   700.0  0.1963E+04  0.7115E+03  0.1808E+03  0.1990E+02  0.3348E+02  0.5193E+02
   750.0  0.1468E+04  0.5448E+03  0.1460E+03  0.1540E+02  0.2611E+02  0.3707E+02
   800.0  0.1114E+04  0.4232E+03  0.1193E+03  0.1207E+02  0.2062E+02  0.2695E+02
   850.0  0.8546E+03  0.3325E+03  0.9843E+02  0.9565E+01  0.1645E+02  0.1990E+02
   900.0  0.6628E+03  0.2641E+03  0.8198E+02  0.7653E+01  0.1325E+02  0.1490E+02
   950.0  0.5190E+03  0.2117E+03  0.6884E+02  0.6178E+01  0.1076E+02  0.1130E+02
  1000.0  0.4101E+03  0.1712E+03  0.5824E+02  0.5027E+01  0.8811E+01  0.8673E+01
  1050.0  0.3266E+03  0.1395E+03  0.4960E+02  0.4120E+01  0.7263E+01  0.6722E+01
  1100.0  0.2620E+03  0.1144E+03  0.4250E+02  0.3398E+01  0.6024E+01  0.5261E+01
  1150.0  0.2116E+03  0.9446E+02  0.3662E+02  0.2820E+01  0.5026E+01  0.4154E+01
  1200.0  0.1721E+03  0.7846E+02  0.3172E+02  0.2353E+01  0.4216E+01  0.3306E+01
  1250.0  0.1407E+03  0.6552E+02  0.2760E+02  0.1974E+01  0.3555E+01  0.2650E+01
  1300.0  0.1157E+03  0.5497E+02  0.2411E+02  0.1663E+01  0.3010E+01  0.2139E+01
  1350.0  0.9558E+02  0.4633E+02  0.2115E+02  0.1408E+01  0.2560E+01  0.1738E+01
  1400.0  0.7934E+02  0.3921E+02  0.1862E+02  0.1196E+01  0.2185E+01  0.1420E+01
  1450.0  0.6616E+02  0.3332E+02  0.1645E+02  0.1020E+01  0.1872E+01  0.1167E+01
  1500.0  0.5540E+02  0.2842E+02  0.1457E+02  0.8729E+00  0.1610E+01  0.9639E+00
  1600.0  0.3928E+02  0.2086E+02  0.1153E+02  0.6450E+00  0.1200E+01  0.6666E+00
  1700.0  0.2823E+02  0.1550E+02  0.9211E+01  0.4822E+00  0.9043E+00  0.4691E+00
  1800.0  0.2054E+02  0.1163E+02  0.7419E+01  0.3638E+00  0.6875E+00  0.3349E+00
  1900.0  0.1510E+02  0.8802E+01  0.6019E+01  0.2769E+00  0.5271E+00  0.2424E+00
  2000.0  0.1121E+02  0.6713E+01  0.4912E+01  0.2123E+00  0.4067E+00  0.1774E+00
  2100.0  0.8390E+01  0.5157E+01  0.4031E+01  0.1639E+00  0.3158E+00  0.1312E+00
  2200.0  0.6328E+01  0.3984E+01  0.3323E+01  0.1272E+00  0.2464E+00  0.9793E-01
  2300.0  0.4807E+01  0.3095E+01  0.2750E+01  0.9933E-01  0.1932E+00  0.7373E-01
  2400.0  0.3674E+01  0.2416E+01  0.2284E+01  0.7789E-01  0.1521E+00  0.5591E-01
  2500.0  0.2824E+01  0.1894E+01  0.1903E+01  0.6134E-01  0.1201E+00  0.4269E-01
  2600.0  0.2182E+01  0.1491E+01  0.1590E+01  0.4848E-01  0.9512E-01  0.3279E-01
  2700.0  0.1694E+01  0.1177E+01  0.1331E+01  0.3845E-01  0.7554E-01  0.2533E-01
  2800.0  0.1320E+01  0.9328E+00  0.1117E+01  0.3059E-01  0.6012E-01  0.1966E-01
  2900.0  0.1033E+01  0.7410E+00  0.9386E+00  0.2440E-01  0.4792E-01  0.1532E-01
  3000.0  0.8116E+00  0.5901E+00  0.7900E+00  0.1952E-01  0.3827E-01  0.1200E-01
  3100.0  0.6395E+00  0.4710E+00  0.6658E+00  0.1564E-01  0.3059E-01  0.9422E-02
  3200.0  0.5054E+00  0.3767E+00  0.5618E+00  0.1256E-01  0.2448E-01  0.7426E-02
  3300.0  0.4006E+00  0.3019E+00  0.4745E+00  0.1010E-01  0.1960E-01  0.5870E-02
  3400.0  0.3182E+00  0.2423E+00  0.4010E+00  0.8142E-02  0.1571E-01  0.4652E-02
  3500.0  0.2534E+00  0.1947E+00  0.3391E+00  0.6570E-02  0.1259E-01  0.3696E-02
  3600.0  0.2022E+00  0.1567E+00  0.2869E+00  0.5307E-02  0.1009E-01  0.2942E-02
  3700.0  0.1616E+00  0.1262E+00  0.2428E+00  0.4292E-02  0.8090E-02  0.2346E-02
  3800.0  0.1294E+00  0.1017E+00  0.2055E+00  0.3473E-02  0.6483E-02  0.1874E-02
  3900.0  0.1038E+00  0.8207E-01  0.1740E+00  0.2813E-02  0.5193E-02  0.1499E-02
  4000.0  0.8333E-01  0.6626E-01  0.1473E+00  0.2280E-02  0.4158E-02  0.1200E-02
