#   (GeV)    (pb)       
Mass AxigluonNLO
  1000.0   0.1849E+03
  1100.0   0.1236E+03
  1200.0   0.8473E+02
  1300.0   0.5937E+02
  1400.0   0.4235E+02
  1500.0   0.3069E+02
  1600.0   0.2257E+02
  1700.0   0.1680E+02
  1800.0   0.1263E+02
  1900.0   0.9577E+01
  2000.0   0.7317E+01
  2100.0   0.5641E+01
  2200.0   0.4374E+01
  2300.0   0.3411E+01
  2400.0   0.2672E+01
  2500.0   0.2103E+01
  2600.0   0.1658E+01
  2700.0   0.1312E+01
  2800.0   0.1041E+01
  2900.0   0.8284E+00
  3000.0   0.6610E+00
  3100.0   0.5294E+00
  3200.0   0.4250E+00
  3300.0   0.3417E+00
  3400.0   0.2752E+00
  3500.0   0.2220E+00
  3600.0   0.1792E+00
  3700.0   0.1449E+00
  3800.0   0.1172E+00
  3900.0   0.9487E-01
  4000.0   0.7686E-01
  4100.0   0.6219E-01
  4200.0   0.5033E-01
  4300.0   0.4074E-01
  4400.0   0.3298E-01
  4500.0   0.2671E-01
  4600.0   0.2165E-01
  4700.0   0.1755E-01
  4800.0   0.1422E-01
  4900.0   0.1152E-01
  5000.0   0.9322E-02
  5100.0   0.7539E-02
  5200.0   0.6092E-02
  5300.0   0.4917E-02
  5400.0   0.3965E-02
  5500.0   0.3193E-02
  5600.0   0.2568E-02
  5700.0   0.2062E-02
  5800.0   0.1653E-02
  5900.0   0.1323E-02
  6000.0   0.1057E-02
  6100.0   0.8442E-03
  6200.0   0.6728E-03
  6300.0   0.5349E-03
  6400.0   0.4242E-03
  6500.0   0.3357E-03
  6600.0   0.2644E-03
  6700.0   0.2077E-03
  6800.0   0.1627E-03
  6900.0   0.1271E-03
  7000.0   0.9891E-04
  7100.0   0.7686E-04
  7200.0   0.5951E-04
  7300.0   0.4592E-04
  7400.0   0.3530E-04
  7500.0   0.2704E-04
  7600.0   0.2059E-04
  7700.0   0.1562E-04
  7800.0   0.1180E-04
  7900.0   0.8882E-05
  8000.0   0.6657E-05
  8100.0   0.4968E-05
  8200.0   0.3693E-05
  8300.0   0.2734E-05
  8400.0   0.2016E-05
  8500.0   0.1481E-05
  8600.0   0.1084E-05
  8700.0   0.7903E-06
  8800.0   0.5744E-06
  8900.0   0.4160E-06
  9000.0   0.3007E-06
