#  Dijet Resonance Cross Section for sqrt{s}=13 TeV, |eta|<2.5, |delta eta|<1.3
#   (GeV)    (pb)  
   Mass     RSGravitonGG
   500.0   0.7071E+02
   550.0   0.4488E+02
   600.0   0.2943E+02
   650.0   0.1982E+02
   700.0   0.1365E+02
   750.0   0.9590E+01
   800.0   0.6854E+01
   850.0   0.4976E+01
   900.0   0.3660E+01
   950.0   0.2726E+01
  1000.0   0.2053E+01
  1050.0   0.1561E+01
  1100.0   0.1198E+01
  1150.0   0.9274E+00
  1200.0   0.7234E+00
  1250.0   0.5680E+00
  1300.0   0.4490E+00
  1350.0   0.3571E+00
  1400.0   0.2855E+00
  1450.0   0.2296E+00
  1500.0   0.1855E+00
  1550.0   0.1505E+00
  1600.0   0.1226E+00
